hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series
38851,Cc1nc(Cl)c(NC(=O)C2CCc3ccc(=O)[nH]c32)c(C)c1C,HGBAJEMUEKUJKI-UHFFFAOYSA-N,1,4,"{44331, 44332, 100133, 100134}",[],1,{1},[28264],"{37896, 37786}",[27971],Amidation,False,[1012]
59563,Cn1c(N)nc2cccc(N3C(C(=O)O)CSC3c3ccc(Cl)s3)c21,QSARRORVVCSXSB-UHFFFAOYSA-N,1,3,"{74949, 74950, 74951}",[],1,{1},[47751],"{4530, 14470}",[47076],Buchwald-Hartwig_amination,False,[104]
6085,CCOc1ncccc1C(=O)N1CCCC1c1ccc(OC)nc1,QUPWOWSONXPQQX-UHFFFAOYSA-N,1,2,"{8218, 8219}",[],1,{1},[1452],"{4427, 6084}",[1442],Amidation,False,[653]
11222,Cc1cc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c(Cl)cc1Cl,DMXCPDHEVSRFFY-UHFFFAOYSA-N,1,1,{13041},[],1,{1},[5186],"{10563, 4579}",[5116],Amidation,False,[2944]
40371,Cn1ncc(Cl)c1-c1cc(N)c2c(c1)OCO2,BFZVQBASOWSUJT-UHFFFAOYSA-N,1,2,"{46362, 46710}",[],1,{1},[29609],"{4480, 40370}",[29316],Sp2-sp2_Suzuki_coupling,False,[796]
37087,COc1cc(N)c(NC(=O)C(C)OCc2ccccc2)cc1Br,XJQWQCNJWGSCQA-UHFFFAOYSA-N,1,4,"{86633, 41842, 41843, 86634}",[],1,{1},[26844],"{36435, 35532}",[26552],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
76522,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1ccc(O)cc1[N+](=O)[O-],BVVWEQPKDQFMBK-UHFFFAOYSA-N,1,1,{97466},[],1,{1},[62957],"{74586, 17246}",[62276],Ester_amidation,False,[3627]
53837,OCCC1(c2cnc3ccc(C(F)(F)F)cc3n2)CC1,PKRDIOBQFMHZPM-UHFFFAOYSA-N,1,1,{66300},[],1,{1},[42151],"{53202, 52914}",[41578],Sp3-sp2_Suzuki_coupling,False,[1473]
15060,CCC(CC)C(OC)C(=O)Nc1cccc(C(=O)NCc2cccs2)c1,ZHAQWAGCDVSHQF-UHFFFAOYSA-N,1,2,"{16035, 16036}",[],1,{1},[7714],"{4450, 15059}",[7644],Amidation,False,[2916]
71887,Cn1c(=O)[nH]c2cc(C(=O)Nc3c(F)cc(Cl)cc3F)cc(Cl)c21,VUVYGJWKIWSSGV-UHFFFAOYSA-N,1,1,{92824},[],1,{1},[58308],"{10741, 68670}",[57627],Amidation,False,[2919]
82689,COc1cc(Br)cc(CO)c1Nc1cc(F)ccc1O,MEGCTDBRIZDQNV-UHFFFAOYSA-N,1,1,{106943},[],1,{1},[69210],"{8945, 16954}",[68529],Buchwald-Hartwig_amination,False,[2925]
78635,Cn1c(Cl)nc2c(C3CC3)cccc21,VYIURGJIPNCJKA-UHFFFAOYSA-N,1,1,{101613},[],1,{1},[64987],"{78581, 78631}",[64311],Sp3-sp2_Suzuki_coupling,False,[1128]
8321,COc1sc(CN(CC(O)CO)C(=O)c2c(Br)c(C)nn2C)cc1Br,RNWPOBYYMPIYPG-UHFFFAOYSA-N,1,1,{11206},[],1,{1},[3387],"{7960, 8243}",[3378],Ester_amidation,False,[1192]
26116,CCN(C(=O)c1cn(C)c2cc(Cl)ccc12)C(C)C,OPZSPDRBUAYJSQ-UHFFFAOYSA-N,1,1,{28290},[],1,{1},[18281],"{13930, 4462}",[18113],Amidation,False,[2188]
81003,Cc1cccc(O)c1Nc1cccc(F)c1Cl,NSKAXFKIEYACNT-UHFFFAOYSA-N,1,1,{105087},[],1,{1},[67439],"{4451, 8947}",[66758],Buchwald-Hartwig_amination,False,[2925]
82713,COc1cc(Br)cc(CO)c1Nc1cccc(F)c1Cl,ZPNVWTHMWLOMFF-UHFFFAOYSA-N,1,1,{106971},[],1,{1},[69234],"{16954, 8947}",[68553],Buchwald-Hartwig_amination,False,[2925]
31622,CCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,NEFGIVMWIPKFJT-UHFFFAOYSA-N,1,1,{35361},[],1,{1},[22896],"{4472, 31621}",[22603],Nucleophilic_substitution_with_amine,False,[1917]
59040,Cc1csc(CN(C)c2cc(C(=O)O)cc3nc(N)n(C)c23)c1,IIDWXUVFKFQALQ-UHFFFAOYSA-N,1,1,{74322},[],1,{1},[47301],"{58969, 12875}",[46626],Buchwald-Hartwig_amination,False,[104]
73007,COc1ccc(N)cc1C(=O)Nc1cc(F)c(O)cc1Cl,KCFJSDZWSWQWBN-UHFFFAOYSA-N,1,1,{94008},[],1,{1},[59410],"{10848, 72795}",[58729],Ester_amidation,False,[3627]
29053,O=c1cc(CCl)n(CC2CCS(=O)(=O)C2)c(=O)[nH]1,RPVLVMNDDYWZTO-UHFFFAOYSA-N,1,2,"{31414, 31415}",[],1,{1},[20934],"{4466, 29051}",[20667],Nucleophilic_substitution_with_amine,False,[95]
31642,O=c1c(Cl)c(Br)ccn1Cc1noc(C2CC2)n1,WFSYDNUCHCVRMD-UHFFFAOYSA-N,1,1,{35375},[],1,{1},[22910],"{31621, 31631}",[22617],Nucleophilic_substitution_with_amine,False,[1917]
31632,O=c1cc(Br)ccn1Cc1noc(C2CC2)n1,KBVJRQKQCKILOY-UHFFFAOYSA-N,1,1,{35366},[],1,{1},[22901],"{84, 31631}",[22608],Nucleophilic_substitution_with_amine,False,[1917]
72376,Cc1cc(Cl)c(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1N,KRHNAGQEEAXIPR-UHFFFAOYSA-N,1,1,{93388},[],1,{1},[58796],"{11194, 68670}",[58115],Amidation,False,[2919]
52811,Cc1nc2ccccc2nc1C12CC1C2,JTWXPXYTTCHQFH-UHFFFAOYSA-N,1,1,{64854},[],1,{1},[41080],"{52795, 52789}",[40516],Sp3-sp2_Suzuki_coupling,False,[1473]
48483,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CC(=O)NC1=S,JDTWERWWQJXUMJ-UHFFFAOYSA-N,1,1,{53980},[],1,{2},"[37286, 37354]","{4497, 48370, 15671}",[36889],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
63250,COc1ccc(F)cc1C(=O)N1CCNC(C)C1,LILGELNVMFEYFO-UHFFFAOYSA-N,1,2,"{78384, 78383}",[],1,{1},[50452],"{63203, 4535}",[49777],Amidation,False,[1316]
82639,COc1ccc2c(c1Nc1cccc(F)c1Cl)CCC2,QLNQPKZCPUHQMS-UHFFFAOYSA-N,1,1,{106883},[],1,{1},[69160],"{16912, 8947}",[68479],Buchwald-Hartwig_amination,False,[2925]
9915,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(O)cc2Cl)c(Cl)c1,SAIDAQMCKKGFBM-UHFFFAOYSA-N,1,1,{12247},[],1,{1},[4396],"{4579, 9132}",[4326],Amidation,False,[2944]
52796,Cc1nc2ccccc2nc1C(C)(C)C,WKWFATFSDWZIJI-UHFFFAOYSA-N,1,1,{64840},[],1,{1},[41060],"{52795, 4507}",[40494],Sp3-sp2_Suzuki_coupling,False,[1473]
76509,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1cc(I)c(OC)c(I)c1,LVSQTCQFNZKWPE-UHFFFAOYSA-N,1,1,{97453},[],1,{1},[62944],"{17258, 74586}",[62263],Ester_amidation,False,[3627]
59548,Cc1ccsc1C1CCCCCN1c1cc(F)cc2nc(N)n(C)c12,FAAKLJKZFUVQPS-UHFFFAOYSA-N,1,1,{74930},[],1,{1},[47737],"{58521, 14403}",[47062],Buchwald-Hartwig_amination,False,[104]
78633,CC(C)c1cccc2c1nc(Cl)n2C,DNKORNSFUCJWJH-UHFFFAOYSA-N,1,1,{101611},[],1,{1},[64989],"{4558, 78631}",[64308],Sp3-sp2_Suzuki_coupling,False,[1128]
31775,CCCCc1nc(Cn2ccc(Br)c(C)c2=O)no1,GCYRYTOMWWQMFC-UHFFFAOYSA-N,1,1,{35502},[],1,{1},[23024],"{31625, 31653}",[22731],Nucleophilic_substitution_with_amine,False,[1917]
38875,O=C(O)c1cc(Br)ncc1NC(=O)C1CCc2ccc(=O)[nH]c21,PDIJYLSBCDCRNG-UHFFFAOYSA-N,1,4,"{44379, 44380, 100141, 100142}",[],1,{1},[28288],"{37888, 37786}",[27995],Amidation,False,[1012]
26154,Cn1cc(C(=O)NCCC(Cl)Cl)c2ccc(Cl)cc21,IICJJSQIMIVITL-UHFFFAOYSA-N,1,1,{28337},[],1,{1},[18319],"{13690, 4462}",[18151],Amidation,False,[2188]
53169,Cc1nc2ccccc2nc1C1(C)CCOC1,RLIYILQTMXITGN-UHFFFAOYSA-N,1,2,"{65256, 65257}",[],1,{1},[41451],"{52795, 52916}",[40875],Sp3-sp2_Suzuki_coupling,False,[1473]
89145,O=C(COCCCBr)Nc1cccc(F)c1[N+](=O)[O-],PXIQYHIFEOKDLP-UHFFFAOYSA-N,1,1,{114961},[],1,{1},[75782],"{11763, 86686}",[75175],Ester_amidation,False,[2924]
