1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,input_num,route_uuid,smiles,hit1_short,hit2_short,datetime,num_steps,flat_inchi
O=C(O)c1cccc(F)c1,CC1CNCCN1,Amidation,,,,cx0585a-cx0398a,147.0,5i5vfK,C[C@H]1CN(C(=O)c2cccc(F)c2)CCN1,cx0398a,cx0585a,2024-09-04 10:29:00,1.0,GEKAQEZWMKZGCA-UHFFFAOYSA-N
OB(O)Cc1cccs1,O=S(=O)(Nc1ccccn1)c1cccc(Cl)c1O,Sp3-sp2_Suzuki_coupling,,,,CHIKVMac-DLS-JA008,7.0,P59Hgt,O=S(=O)(Nc1ccccn1)c1cccc(Cc2cccs2)c1O,cx0289a,cx0892a,2024-09-03 17:15:00,1.0,KRUZICJRZZZCFH-UHFFFAOYSA-N
COC(=O)c1cn(C)c2ccc(N)cc12,CN,Ester_amidation,,,,cx0270a-cx1260a,246.0,sZQ8PU,CNC(=O)c1cn(C)c2ccc(N)cc12,cx1260a,cx0270a,2024-09-04 10:22:00,1.0,GXJARPZGKFADOS-UHFFFAOYSA-N
Nc1ccc2cccc(C=O)c2n1,Cn1cc(CN)c2ccccc21,Reductive_amination,,,,cx0270a-cx1338a,250.0,qWeg22,Cn1cc(CNCc2cccc3ccc(N)nc23)c2ccccc21,cx1338a,cx0270a,2024-09-04 10:19:00,1.0,KFMQBLWKRFIPBE-UHFFFAOYSA-N
O=c1cccc[nH]1,ClCc1noc(Br)n1,Nucleophilic_substitution_with_amine,OB(O)c1cnc2[nH]ccc2c1,O=c1ccccn1Cc1noc(Br)n1,Sp2-sp2_Suzuki_coupling,CHIKVMac-DLS-DF001,9.0,ouPDhh,O=c1ccccn1Cc1noc(-c2cnc3[nH]ccc3c2)n1,cx1402a,cx0316a,2024-09-03 19:06:00,2.0,LKSJOAHCUYUSRB-UHFFFAOYSA-N
Cc1c[nH]c2ncc(C(=O)O)c-2c1,CO,Steglich_esterification,,,,cx1278a-cx1406a,110.0,vHRHmF,COC(=O)c1cnc2[nH]cc(C)cc1-2,cx1278a,cx1406a,2024-09-04 08:42:00,1.0,QZVYQICELPCZOV-UHFFFAOYSA-N
OB(O)c1ccn[nH]1,Nc1c(Cl)ccc2c1OCO2,Sp2-sp2_Suzuki_coupling,,,,cx0864d-cx1116c,301.0,5ynUtL,Nc1c(-c2ccn[nH]2)ccc2c1OCO2,cx1116c,cx0864d,2024-09-04 10:31:00,1.0,NXHHOOOYMWASMZ-UHFFFAOYSA-N
Nc1cc(O)ccc1Br,COCC(N)=O,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,cx0935a-cx1116a,325.0,zVbKYg,COCC(=O)Nc1ccc(O)cc1N,cx0935a,cx1116a,2024-09-04 15:37:00,1.0,XMHJIXAUMMKGLT-UHFFFAOYSA-N
O=C(O)c1cc(Cl)c2nc[nH]c2c1,Nc1ccccc1,Amidation,,,,cx0894e-cx0692a,312.0,ekxtxc,O=C(Nc1ccccc1)c1cc(Cl)c2nc[nH]c2c1,cx0692a,cx0894e,2024-09-04 12:45:00,1.0,IMOYJNKITCRRFB-UHFFFAOYSA-N
Nc1ccc(O)cc1,CCOC(=O)c1ccccc1OC,Ester_amidation,,,,cx0935a-cx1118g,327.0,oYYzfY,COc1ccccc1C(=O)Nc1ccc(O)cc1,cx0935a,cx1118g,2024-09-04 13:10:00,1.0,LXNXWBLKTWRVII-UHFFFAOYSA-N
NC1CCC(=O)NC1,CCOC(=O)C1CSC2(CCNC(=O)C2)N1,Ester_amidation,,,,cx1076a-cx0300a,160.0,zbo68M,O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@]3(CCNC(=O)C3)N2)CN1,cx1076a,cx0300a,2024-09-04 10:52:00,1.0,YHGCJJWAPVTIRQ-UHFFFAOYSA-N
Nc1cnc2[nH]ccc2c1,Cc1[nH][nH]c(=O)c1CC(=O)O,Amidation,,,,CHIKVMac-DLS-DF002,10.0,GDNfCh,Cc1[nH][nH]c(=O)c1CC(=O)Nc1cnc2[nH]ccc2c1,cx0317a,cx1402a,2024-09-03 17:38:00,1.0,OHSGHNZPVAYZHL-UHFFFAOYSA-N
NC(=O)c1ccnc(NC2CC=CC2)c1,CCc1nc(Br)no1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,CHIKVMac-DLS-JA003,2.0,T7iaYY,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,cx0441a,cx0316a,2024-09-03 17:11:00,1.0,WXVLITNXXROEMR-UHFFFAOYSA-N
O=C(O)Cc1cccc(O)n1,Cc1ccncc1N,Amidation,,,,cx0305a-cx1118a,112.0,ehxQfM,Cc1ccncc1NC(=O)Cc1cccc(O)n1,cx0305a,cx1118a,2024-09-04 09:49:00,1.0,KIULBMGWDSJTMM-UHFFFAOYSA-N
NCc1cccc2nc(N)sc12,CN(C)C(=O)CO,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,cx1271a-cx0721a,63.0,ZBZKTz,CN(C)C(=O)CNCc1cccc2nc(N)sc12,cx1271a,cx0721a,2024-09-03 18:01:00,1.0,WZMWLLZLOKQLRZ-UHFFFAOYSA-N
CC(C)B(O)O,Brc1cccc2[nH]cnc12,Sp3-sp2_Suzuki_coupling,,,,cx1134a-cx0894a,118.0,hXYQkX,CC(C)c1cccc2[nH]cnc12,cx1134a,cx0894a,2024-09-04 09:55:00,1.0,DZVXXHSUENHLJH-UHFFFAOYSA-N
Nc1cc(Br)cc(N)n1,COCC(=O)O,Amidation,,,,cx1075a-cx0692a,351.0,AYAaJc,COCC(=O)Nc1cc(Br)cc(N)n1,cx0692a,cx1075a,2024-09-04 11:19:00,1.0,GLWBHHUWZUOZOL-UHFFFAOYSA-N
Nc1ccccc1,Cc1cccc(O)c1I,Buchwald-Hartwig_amination,,,,cx0692a-cx1116c,284.0,UwZThX,Cc1cccc(O)c1Nc1ccccc1,cx0692a,cx1116c,2024-09-04 12:21:00,1.0,XQWKZXHQRAAZAF-UHFFFAOYSA-N
NOc1ccc(Br)cc1Br,CC(C)B(O)O,Sp3-sp2_Suzuki_coupling,,,,cx1134a-cx1076a,115.0,vCybEb,CC(C)c1cc(Br)ccc1ON,cx1134a,cx1076a,2024-09-04 09:33:00,1.0,LCANJRPVBLCVAU-UHFFFAOYSA-N
OCCl,Clc1ccc2c(c1)NCO2,Nucleophilic_substitution_with_amine,OCN1COc2ccc(Cl)cc21,OB(O)c1ccn[nH]1,Sp2-sp2_Suzuki_coupling,cx0864d-cx0969b,300.0,6ACutS,OCN1COc2ccc(-c3ccn[nH]3)cc21,cx0864d,cx0969b,2024-09-04 11:31:00,2.0,CVNPYWIROGTFDL-UHFFFAOYSA-N
O=CO,CN(C)C(=O)CNc1cc[nH]c(=O)c1,Amidation,,,,cx1076a-cx0721a,161.0,4DEaMj,CN(C)C(=O)CN(C=O)c1cc[nH]c(=O)c1,cx1076a,cx0721a,2024-09-04 09:09:00,1.0,KKYCNGMNUUPLTM-UHFFFAOYSA-N
Nc1ccccc1N,COCC(=O)OC(C)(C)C,Ester_amidation,,,,cx0692a-cx1116a,283.0,3bhpFq,COCC(=O)Nc1ccccc1N,cx0692a,cx1116a,2024-09-05 11:12:00,1.0,PPHADCGGEPSVTM-UHFFFAOYSA-N
CNCc1cccc(=O)[nH]1,CCOC(=O)c1cn[nH]c1,Ester_amidation,,,,cx0732a-cx1135a,29.0,ZzGYCp,CN(Cc1cccc(=O)[nH]1)C(=O)c1cn[nH]c1,cx0732a,cx1135a,2024-09-03 19:00:00,1.0,ZJENMQHSGLZNHL-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CCl,Cc1[nH][nH]c(=O)c1CCO,Nucleophilic_substitution_with_amine,,,,cx0317a-cx0305a,58.0,STWk5f,Cc1ccncc1NC(=O)Cn1[nH]c(=O)c(CCO)c1C,cx0317a,cx0305a,2024-09-03 18:00:00,1.0,GQXYNJMUNPQGML-UHFFFAOYSA-N
