hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,chemistry_types,scaffold_series
43054,COc1cc(F)c(Nc2cncc(O)c2Br)cc1Cl,NFKTUCNENKSLDW-UHFFFAOYSA-N,1,1,{49044},[],1,{1},[32410],"{40872, 17214}",Buchwald-Hartwig_amination,[3628]
89090,CC1(C(=O)Nc2cc(Br)cc(O)c2N)CNCCO1,SIUHZOBCDYBQPM-UHFFFAOYSA-N,1,1,{114871},[],1,{1},[75727],"{87461, 10327}",Ester_amidation,[2924]
88459,CNc1ccc(Br)cc1NC(=O)C(=O)OC(C)(C)C,BQQVLGKBAFZSLM-UHFFFAOYSA-N,1,1,{114058},[],1,{1},[75892],"{86307, 86549}",Ester_amidation,[2924]
69600,Cc1cccc(NC(=O)c2cc(Cl)c3nc(O)[nH]c3c2)c1O,GRUOTVMDXQINPQ-UHFFFAOYSA-N,1,1,{90142},[],1,{1},[56021],"{9178, 68261}",Amidation,[2919]
64739,CC1CN(C(=O)c2cccc(F)c2N)C(C)(C)CN1,LWPRTRCETORNDY-UHFFFAOYSA-N,1,2,"{81432, 81433}",[],1,{1},[51828],"{11755, 63692}",Amidation,[1316]
71075,O=C(Nc1cc(Cl)c(Cl)cc1Cl)c1cc(Cl)c2nc(O)[nH]c2c1,IDMXEDIUIWDNKT-UHFFFAOYSA-N,1,1,{91981},[],1,{1},[57496],"{10218, 68261}",Amidation,[2919]
14502,C=C(OC)C(=O)Nc1cccc(C(=O)NCc2cccs2)c1,JNAFQHXNLQQKAQ-UHFFFAOYSA-N,1,1,{15549},[],1,{1},[7401],"{4450, 14501}",Amidation,[2916]
8853,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(O)cc2)c(Cl)c1,QTTZEMRXRKZNQP-UHFFFAOYSA-N,1,1,{11590},[],1,{1},[3740],"{4579, 4452}",Amidation,[2944]
16131,CN(C)c1ccc(C(=O)NCc2cc(Br)cs2)cc1NC(=O)C1CC=CCO1,LPXUOYKYXKYEQI-UHFFFAOYSA-N,1,2,"{17168, 17169}",[],1,{1},[8418],"{15032, 14663}",Amidation,[2916]
78772,CCC(C)c1cccc2c1nc(O)n2C,WZRJGCXJCRYAPZ-UHFFFAOYSA-N,1,2,"{101758, 101759}",[],1,{1},[65140],"{78612, 78623}",Sp3-sp2_Suzuki_coupling,[1128]
7148,CCOc1nc(C(F)(F)F)ccc1C(=O)N1CCCCC1c1ccc(O)nc1,LCPPTYRRUBNQBV-UHFFFAOYSA-N,1,2,"{9445, 9446}",[],1,{1},[2465],"{6089, 6156}",Amidation,[653]
82708,COc1cc(Nc2ccc(F)cc2O)cc(CO)c1I,QNQOAGDSVWREQN-UHFFFAOYSA-N,1,1,{106964},[],1,{1},[69229],"{8969, 16954}",Buchwald-Hartwig_amination,[2925]
42777,COc1ccc(Nc2cncc(OC)c2Br)c(C)c1,FMTYIUNMSJVFBZ-UHFFFAOYSA-N,1,1,{48767},[],1,{1},[32118],"{40914, 16829}",Buchwald-Hartwig_amination,[3628]
87885,Cc1ccc(NC(=O)COCC(=O)O)c(N)c1F,ZWVZWBUSKJMMNB-UHFFFAOYSA-N,1,1,{113393},[],1,{1},[74462],"{11001, 16038}",Ester_amidation,[2924]
89121,Cc1cc(C)c(N)c(NC(=O)C2(C)CNCCO2)c1,UBKDKUVJAWYDOR-UHFFFAOYSA-N,1,2,"{114928, 114929}",[],1,{1},[75758],"{86370, 87461}",Ester_amidation,[2924]
30136,O=c1cc(C(F)(F)F)n(CC2CCS(=O)(=O)C2)c(=O)[nH]1,NUFDODDQUSNCNF-UHFFFAOYSA-N,1,1,{32444},[],1,{1},[21522],"{4466, 30046}",Nucleophilic_substitution_with_amine,[95]
82685,COc1cc(Br)cc(CO)c1Nc1cccc(F)c1F,CGFWGZMMQCLVQG-UHFFFAOYSA-N,1,1,{106937},[],1,{1},[69206],"{16954, 8991}",Buchwald-Hartwig_amination,[2925]
88732,Cc1cc(NC(=O)C2(CN)CCCO2)c(N)cc1F,AZEICTWAONUBGT-UHFFFAOYSA-N,1,2,"{114342, 114343}",[],1,{1},[75299],"{10960, 87483}",Ester_amidation,[2924]
86696,C#CCCOCC(=O)Nc1cc(F)ccc1N,HKZYNRSTEVMYGC-UHFFFAOYSA-N,1,1,{111988},[],1,{1},[73210],"{8757, 86695}",Ester_amidation,[2924]
16370,CCOC1(C(=O)Nc2cc(C(=O)NCc3cc(Br)cs3)ccc2N(C)C)CCC1,UQMVBSSLPHGEIC-UHFFFAOYSA-N,1,1,{17450},[],1,{1},[8603],"{15032, 14863}",Amidation,[2916]
83405,COc1cc(Nc2ccc(O)cc2Cl)cc(CBr)c1I,RWYQTBGMMUPCOW-UHFFFAOYSA-N,1,1,{107726},[],1,{1},[69926],"{9132, 17134}",Buchwald-Hartwig_amination,[2925]
86898,O=C(COCCBr)N1CCNc2ccccc21,YQRJYZKDWYWGJC-UHFFFAOYSA-N,1,1,{112202},[],1,{1},[73430],"{86594, 10147}",Ester_amidation,[2924]
71840,Cc1cc(F)c(Br)cc1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,LAJKLDOSQYKRGK-UHFFFAOYSA-N,1,1,{92777},[],1,{1},[58261],"{10802, 68670}",Amidation,[2919]
54048,Cc1nc2ccccc2nc1C12C3C4C1C1C2C3C41C(=O)O,FDESHHQFFKXAJI-UHFFFAOYSA-N,1,1,{66589},[],1,{1},[42361],"{52795, 53991}",Sp3-sp2_Suzuki_coupling,[1473]
87986,COC(C(=O)O)C(=O)Nc1c(N)ccc(F)c1C,RGGAXAMXBINPFG-UHFFFAOYSA-N,1,2,"{113507, 113508}",[],1,{1},[74562],"{10968, 16017}",Ester_amidation,[2924]
63981,CCC1CN(C(=O)c2cc(F)c(F)cc2O)CCN1,IQVGZTGBBFKEBS-UHFFFAOYSA-N,1,2,"{79774, 79775}",[],1,{1},[51070],"{63593, 63078}",Amidation,[1316]
87168,Cc1cc(NC(=O)COCCO)c(N)cc1F,YRWUZVHFCAJEAM-UHFFFAOYSA-N,1,1,{112547},[],1,{1},[73739],"{10960, 86571}",Ester_amidation,[2924]
87239,Nc1cc(I)c(Cl)cc1NC(=O)COCCO,AZIIJXFZMVZANA-UHFFFAOYSA-N,1,1,{112617},[],1,{1},[73810],"{10160, 86571}",Ester_amidation,[2924]
89093,Cc1cc(NC(=O)C2(C)CNCCO2)c(N)cc1Br,XVCDIAHLSHWJGM-UHFFFAOYSA-N,1,2,"{114876, 114877}",[],1,{1},[75730],"{10157, 87461}",Ester_amidation,[2924]
89098,CC1(C(=O)Nc2cc(Cl)c(I)cc2N)CNCCO1,PCCXKYDZFLXKKH-UHFFFAOYSA-N,1,2,"{114886, 114887}",[],1,{1},[75735],"{10160, 87461}",Ester_amidation,[2924]
40971,Oc1ccc(Nc2cncc(O)c2Br)c(Cl)c1,VFZNMCWZDPJVAO-UHFFFAOYSA-N,1,1,{47007},[],1,{1},[30232],"{40872, 9132}",Buchwald-Hartwig_amination,[3628]
83301,COc1cc(Nc2cccc(F)c2F)cc(CBr)c1I,NNAYVWQZXGCTGH-UHFFFAOYSA-N,1,1,{107609},[],1,{1},[69822],"{17134, 8991}",Buchwald-Hartwig_amination,[2925]
88831,NCC1(C(=O)Nc2ccc(Br)c(O)c2N)CCCO1,KDOLGBFVMWKMLF-UHFFFAOYSA-N,1,2,"{114506, 114507}",[],1,{1},[75396],"{10330, 87483}",Ester_amidation,[2924]
88909,Nc1cc(I)c(Cl)cc1NC(=O)C1OCCNC1=O,KQTVWCDRNOQVNC-UHFFFAOYSA-N,1,2,"{114609, 114610}",[],1,{1},[75475],"{10160, 87305}",Ester_amidation,[2924]
43229,COc1cncc(F)c1Nc1ccc(O)cc1SC,XABQHFIUYGMJCM-UHFFFAOYSA-N,1,1,{49219},[],1,{1},[32585],"{10364, 40982}",Buchwald-Hartwig_amination,[3628]
87705,Cc1ccc(NC(=O)COCCCBr)c(N)c1F,IJDIHSJCMTTXQY-UHFFFAOYSA-N,1,1,{113184},[],1,{1},[74280],"{11001, 86686}",Ester_amidation,[2924]
12332,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(Br)c(Cl)c2Cl)c(Cl)c1,CKUWHYCUMDEVDK-UHFFFAOYSA-N,1,1,{13978},[],1,{1},[6113],"{10944, 4579}",Amidation,[2944]
19191,COc1cc(Nc2ccc3c(c2)CCO3)cc(CO)c1I,JMZMQZXISAVQJQ-UHFFFAOYSA-N,1,1,{20328},[],1,{1},[11430],"{16954, 16805}",Buchwald-Hartwig_amination,[3625]
43072,COc1c(C)cc(Nc2c(O)cncc2F)cc1C,XBOFVLPMPMRDCG-UHFFFAOYSA-N,1,1,{49062},[],1,{1},[32428],"{40866, 12012}",Buchwald-Hartwig_amination,[3628]
69943,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(F)cc3N)cc(Cl)c21,KCPNXXBXGCTVPD-UHFFFAOYSA-N,1,1,{90643},[],1,{1},[56364],"{8757, 68670}",Amidation,[2919]
87600,COC(C(=O)O)C(=O)Nc1c(F)ccc(F)c1N,SNLPJQHLNQBJBW-UHFFFAOYSA-N,1,2,"{113077, 113078}",[],1,{1},[74175],"{16017, 10131}",Ester_amidation,[2924]
89330,COC(C)(C(=O)O)C(=O)Nc1ccc(C)c(F)c1N,VBWCXSLNINFTLN-UHFFFAOYSA-N,1,2,"{115197, 115198}",[],1,{1},[76039],"{11001, 80778}",Ester_amidation,[2924]
86960,Cc1cc(N)c(NC(=O)COCCBr)cc1F,ZHHDIDFVCDZQMQ-UHFFFAOYSA-N,1,1,{112270},[],1,{1},[73494],"{10960, 86594}",Ester_amidation,[2924]
87800,Nc1ccc(Br)c(O)c1NC(=O)COCC(=O)O,JVJGGICVKQBCFL-UHFFFAOYSA-N,1,1,{113279},[],1,{1},[74377],"{10330, 16038}",Ester_amidation,[2924]
